Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
16,Entry short,2026-07-07 05:52,S,69.23,8,55384,-16,-0.03,40,92,0.17,-92,-0.17,-4189,-0.42,21
17,Exit long,2026-07-07 06:17,flip,69.14,11,76120,-121,-0.16,55,0,0.00,-104.5,-0.14,-4310,-0.43,4
17,Entry long,2026-07-07 06:13,L,69.2,11,76120,-121,-0.16,55,0,0.00,-104.5,-0.14,-4310,-0.43,4
18,Exit short,2026-07-07 09:41,flip,69.72,11,76054,-693,-0.91,55,258.5,0.34,-764.5,-1.00,-5003,-0.50,204
18,Entry short,2026-07-07 06:17,S,69.14,11,76054,-693,-0.91,55,258.5,0.34,-764.5,-1.00,-5003,-0.50,204
19,Exit long,2026-07-07 16:45,session 4:45,72.2,5,34860,1215,3.48,25,1382.5,3.96,-42.5,-0.12,-3788,-0.38,424
19,Entry long,2026-07-07 09:41,L,69.72,5,34860,1215,3.48,25,1382.5,3.96,-42.5,-0.12,-3788,-0.38,424
20,Exit long,2026-07-07 23:43,flip,72.26,7,50638,-91,-0.18,35,241.5,0.48,-430.5,-0.85,-3879,-0.39,323
20,Entry long,2026-07-07 18:20,L,72.34,7,50638,-91,-0.18,35,241.5,0.48,-430.5,-0.85,-3879,-0.39,323
21,Exit short,2026-07-07 23:45,flip,72.3,13,93938,-117,-0.12,65,0,0.00,-97.5,-0.10,-3996,-0.40,2
21,Entry short,2026-07-07 23:43,S,72.26,13,93938,-117,-0.12,65,0,0.00,-97.5,-0.10,-3996,-0.40,2
22,Exit long,2026-07-08 03:52,flip,71.88,14,101220,-658,-0.65,70,847,0.84,-721,-0.71,-4654,-0.47,247
22,Entry long,2026-07-07 23:45,L,72.3,14,101220,-658,-0.65,70,847,0.84,-721,-0.71,-4654,-0.47,247
23,Exit short,2026-07-08 04:54,flip,74.68,6,43128,-1710,-3.96,30,0,0.00,-1833,-4.25,-6364,-0.64,62
23,Entry short,2026-07-08 03:52,S,71.88,6,43128,-1710,-3.96,30,0,0.00,-1833,-4.25,-6364,-0.64,62
