Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
60,Entry short,2026-07-21 16:43,S,29292.5,5,292925,-22.5,-0.01,25,30,0.01,-35,-0.01,4457,0.45,2
61,Exit short,2026-07-22 07:02,flip,29158.5,3,175704,738,0.42,15,1540.5,0.88,-327,-0.19,5195,0.52,776
61,Entry short,2026-07-21 18:06,S,29284,3,175704,738,0.42,15,1540.5,0.88,-327,-0.19,5195,0.52,776
62,Exit long,2026-07-22 08:15,flip,29040.5,3,174951,-723,-0.41,15,37.5,0.02,-855,-0.49,4472,0.45,73
62,Entry long,2026-07-22 07:02,L,29158.5,3,174951,-723,-0.41,15,37.5,0.02,-855,-0.49,4472,0.45,73
63,Exit short,2026-07-22 10:11,flip,29253.5,2,116162,-862,-0.74,10,312,0.27,-980,-0.84,3610,0.36,116
63,Entry short,2026-07-22 08:15,S,29040.5,2,116162,-862,-0.74,10,312,0.27,-980,-0.84,3610,0.36,116
64,Exit long,2026-07-22 15:26,flip,29230.25,1,58507,-51.5,-0.09,5,175.5,0.30,-164.5,-0.28,3558.5,0.36,315
64,Entry long,2026-07-22 10:11,L,29253.5,1,58507,-51.5,-0.09,5,175.5,0.30,-164.5,-0.28,3558.5,0.36,315
65,Exit short,2026-07-22 16:45,session 4:45,29185,2,116921,171,0.15,10,440,0.38,-127,-0.11,3729.5,0.37,79
65,Entry short,2026-07-22 15:26,S,29230.25,2,116921,171,0.15,10,440,0.38,-127,-0.11,3729.5,0.37,79
66,Exit short,2026-07-22 20:45,flip,29244,2,116329,-657,-0.56,10,221,0.19,-702,-0.60,3072.5,0.31,136
66,Entry short,2026-07-22 18:29,S,29082.25,2,116329,-657,-0.56,10,221,0.19,-702,-0.60,3072.5,0.31,136
67,Exit long,2026-07-22 22:35,flip,29098.25,2,116976,-593,-0.51,10,151,0.13,-611,-0.52,2479.5,0.25,110
67,Entry long,2026-07-22 20:45,L,29244,2,116976,-593,-0.51,10,151,0.13,-611,-0.52,2479.5,0.25,110
68,Exit short,2026-07-23 16:45,session 4:45,28734.25,2,116393,1446,1.24,10,2658,2.28,-347,-0.30,3925.5,0.39,1090
68,Entry short,2026-07-22 22:35,S,29098.25,2,116393,1446,1.24,10,2658,2.28,-347,-0.30,3925.5,0.39,1090
69,Exit short,2026-07-24 01:44,flip,28591,1,57312,125,0.22,5,377,0.66,-61,-0.11,4050.5,0.41,255
69,Entry short,2026-07-23 21:29,S,28656,1,57312,125,0.22,5,377,0.66,-61,-0.11,4050.5,0.41,255
70,Exit long,2026-07-24 02:30,flip,28528,2,114364,-262,-0.23,10,60,0.05,-358,-0.31,3788.5,0.38,46
70,Entry long,2026-07-24 01:44,L,28591,2,114364,-262,-0.23,10,60,0.05,-358,-0.31,3788.5,0.38,46
71,Exit short,2026-07-24 05:56,flip,28692,2,114112,-666,-0.58,10,181,0.16,-704,-0.62,3122.5,0.31,206
71,Entry short,2026-07-24 02:30,S,28528,2,114112,-666,-0.58,10,181,0.16,-704,-0.62,3122.5,0.31,206
72,Exit long,2026-07-24 09:16,flip,28586.25,3,172152,-649.5,-0.38,15,75,0.04,-729,-0.42,2473,0.25,200
72,Entry long,2026-07-24 05:56,L,28692,3,172152,-649.5,-0.38,15,75,0.04,-729,-0.42,2473,0.25,200
73,Exit short,2026-07-24 12:23,flip,28585.75,2,114345,-8,-0.01,10,1323,1.16,-185,-0.16,2465,0.25,187
73,Entry short,2026-07-24 09:16,S,28586.25,2,114345,-8,-0.01,10,1323,1.16,-185,-0.16,2465,0.25,187
74,Exit long,2026-07-24 13:00,flip,28488.75,1,57171.5,-199,-0.35,5,14,0.02,-253,-0.44,2266,0.23,37
74,Entry long,2026-07-24 12:23,L,28585.75,1,57171.5,-199,-0.35,5,14,0.02,-253,-0.44,2266,0.23,37
75,Exit short,2026-07-24 16:45,session 4:45,28306.25,1,56977.5,360,0.63,5,550,0.97,-113.5,-0.20,2626,0.26,225
75,Entry short,2026-07-24 13:00,S,28488.75,1,56977.5,360,0.63,5,550,0.97,-113.5,-0.20,2626,0.26,225
76,Exit long,2026-07-27 07:43,flip,28670.75,2,114534,139,0.12,10,516,0.45,-438,-0.38,2765,0.28,773
76,Entry long,2026-07-26 18:50,L,28633.5,2,114534,139,0.12,10,516,0.45,-438,-0.38,2765,0.28,773
77,Exit short,2026-07-27 15:58,flip,28190.25,2,114683,1912,1.67,10,2924,2.55,-133,-0.12,4677,0.47,495
77,Entry short,2026-07-27 07:43,S,28670.75,2,114683,1912,1.67,10,2924,2.55,-133,-0.12,4677,0.47,495
78,Exit long,2026-07-27 16:45,session 4:45,28206.5,1,56380.5,27.5,0.05,5,79,0.14,-44.5,-0.08,4704.5,0.47,47
78,Entry long,2026-07-27 15:58,L,28190.25,1,56380.5,27.5,0.05,5,79,0.14,-44.5,-0.08,4704.5,0.47,47
79,Exit short,2026-07-27 19:59,Open,28160.25,3,168813,-163.5,-0.10,7.5,175.5,0.10,-267,-0.16,4533.5,0.45,65
79,Entry short,2026-07-27 18:54,S,28135.5,3,168813,-163.5,-0.10,7.5,175.5,0.10,-267,-0.16,4533.5,0.45,65
