Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
9,Exit long,2026-05-28 12:15,flip,89.15,2,18216,-396,-2.17,51,0.28,-821,-4.51,893,0.09,33
9,Entry long,2026-05-28 09:30,L,91.08,2,18216,-396,-2.17,51,0.28,-821,-4.51,893,0.09,33
10,Exit short,2026-05-28 16:45,session 4:45,88.75,1,8915,35,0.39,110.5,1.24,-51.5,-0.58,928,0.09,54
10,Entry short,2026-05-28 12:15,S,89.15,1,8915,35,0.39,110.5,1.24,-51.5,-0.58,928,0.09,54
11,Exit short,2026-05-29 16:45,session 4:45,87.8,2,17556,-14,-0.08,283,1.61,-257,-1.46,914,0.09,194
11,Entry short,2026-05-29 00:35,S,87.78,2,17556,-14,-0.08,283,1.61,-257,-1.46,914,0.09,194
12,Exit short,2026-06-02 16:45,session 4:45,93.44,2,18354,-344,-1.87,327,1.78,-451,-2.46,570,0.06,234
12,Entry short,2026-06-01 21:15,S,91.77,2,18354,-344,-1.87,327,1.78,-451,-2.46,570,0.06,234
13,Exit short,2026-06-03 16:45,session 4:45,96.35,2,19126,-154,-0.80,255,1.33,-193,-1.01,416,0.04,93
13,Entry short,2026-06-03 09:00,S,95.63,2,19126,-154,-0.80,255,1.33,-193,-1.01,416,0.04,93
14,Exit long,2026-06-04 14:10,flip,92.06,2,19056,-654,-3.43,79,0.41,-681,-3.57,-238,-0.02,127
14,Entry long,2026-06-04 03:35,L,95.28,2,19056,-654,-3.43,79,0.41,-681,-3.57,-238,-0.02,127
15,Exit short,2026-06-04 16:45,session 4:45,93.01,2,18412,-200,-1.09,19,0.10,-285,-1.55,-438,-0.04,31
15,Entry short,2026-06-04 14:10,S,92.06,2,18412,-200,-1.09,19,0.10,-285,-1.55,-438,-0.04,31
16,Exit short,2026-06-08 16:45,session 4:45,91.24,2,18224,-34,-0.19,17,0.09,-93,-0.51,-472,-0.05,23
16,Entry short,2026-06-08 14:50,S,91.12,2,18224,-34,-0.19,17,0.09,-93,-0.51,-472,-0.05,23
17,Exit short,2026-06-09 16:45,session 4:45,88.73,2,17832,76,0.43,637,3.57,-55,-0.31,-396,-0.04,92
17,Entry short,2026-06-09 09:05,S,89.16,2,17832,76,0.43,637,3.57,-55,-0.31,-396,-0.04,92
18,Exit short,2026-06-10 16:45,session 4:45,91.68,2,17562,-784,-4.46,77,0.44,-811,-4.62,-1180,-0.12,144
18,Entry short,2026-06-10 04:45,S,87.81,2,17562,-784,-4.46,77,0.44,-811,-4.62,-1180,-0.12,144
19,Exit short,2026-06-11 16:45,session 4:45,86.41,2,17888,596,3.33,739,4.13,-415,-2.32,-584,-0.06,129
19,Entry short,2026-06-11 06:00,S,89.44,2,17888,596,3.33,739,4.13,-415,-2.32,-584,-0.06,129
20,Exit short,2026-06-12 16:45,session 4:45,84.28,2,17192,326,1.90,555,3.23,-265,-1.54,-258,-0.03,158
