Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
32,Entry short,2026-04-24 11:40,S,93.74,1,9374,-132,-1.41,102.5,1.09,-185.5,-1.98,1498,0.15,61
33,Exit long,2026-04-27 16:45,session 4:45,96.64,2,19316,2,0.01,211,1.09,-153,-0.79,1500,0.15,46
33,Entry long,2026-04-27 12:55,L,96.58,2,19316,2,0.01,211,1.09,-153,-0.79,1500,0.15,46
34,Exit long,2026-04-28 10:55,flip,99.36,3,29001,792,2.73,1546.5,5.33,-133.5,-0.46,2292,0.23,192
34,Entry long,2026-04-27 18:55,L,96.67,3,29001,792,2.73,1546.5,5.33,-133.5,-0.46,2292,0.23,192
35,Exit short,2026-04-28 16:45,session 4:45,99.6,1,9936,-29,-0.29,32.5,0.33,-110.5,-1.11,2263,0.23,70
35,Entry short,2026-04-28 10:55,S,99.36,1,9936,-29,-0.29,32.5,0.33,-110.5,-1.11,2263,0.23,70
36,Exit long,2026-04-29 16:45,session 4:45,108.27,2,20682,962,4.65,1013,4.90,-93,-0.45,3225,0.32,106
36,Entry long,2026-04-29 07:55,L,103.41,2,20682,962,4.65,1013,4.90,-93,-0.45,3225,0.32,106
37,Exit short,2026-04-30 16:45,session 4:45,105.52,2,21456,342,1.59,787,3.67,-733,-3.42,3567,0.36,229
37,Entry short,2026-04-29 21:40,S,107.28,2,21456,342,1.59,787,3.67,-733,-3.42,3567,0.36,229
38,Exit long,2026-05-01 04:25,flip,105.12,2,21182,-168,-0.79,147,0.69,-363,-1.71,3399,0.34,99
38,Entry long,2026-04-30 20:10,L,105.91,2,21182,-168,-0.79,147,0.69,-363,-1.71,3399,0.34,99
39,Exit short,2026-05-01 14:10,flip,101.91,1,10512,316,3.01,579.5,5.51,-108.5,-1.03,3715,0.37,117
39,Entry short,2026-05-01 04:25,S,105.12,1,10512,316,3.01,579.5,5.51,-108.5,-1.03,3715,0.37,117
40,Exit long,2026-05-01 16:45,session 4:45,102.37,1,10191,41,0.40,81.5,0.80,-22.5,-0.22,3756,0.38,31
40,Entry long,2026-05-01 14:10,L,101.91,1,10191,41,0.40,81.5,0.80,-22.5,-0.22,3756,0.38,31
41,Exit long,2026-05-03 22:10,flip,101.5,2,20388,-98,-0.48,5,0.02,-117,-0.57,3658,0.37,9
41,Entry long,2026-05-03 21:25,L,101.94,2,20388,-98,-0.48,5,0.02,-117,-0.57,3658,0.37,9
42,Exit short,2026-05-04 16:45,session 4:45,104.89,2,20300,-688,-3.39,267,1.31,-1195,-5.89,2970,0.30,223
42,Entry short,2026-05-03 22:10,S,101.5,2,20300,-688,-3.39,267,1.31,-1195,-5.89,2970,0.30,223
43,Exit short,2026-05-05 16:45,session 4:45,102.38,1,10406,163,1.57,296.5,2.85,-106.5,-1.02,3133,0.31,151
43,Entry short,2026-05-05 04:10,S,104.06,1,10406,163,1.57,296.5,2.85,-106.5,-1.02,3133,0.31,151
44,Exit short,2026-05-06 01:10,flip,100.75,2,20078,-82,-0.41,33,0.16,-83,-0.41,3051,0.31,18
44,Entry short,2026-05-05 23:40,S,100.39,2,20078,-82,-0.41,33,0.16,-83,-0.41,3051,0.31,18
45,Exit long,2026-05-06 02:00,flip,100.06,3,30225,-222,-0.73,175.5,0.58,-313.5,-1.04,2829,0.28,10
45,Entry long,2026-05-06 01:10,L,100.75,3,30225,-222,-0.73,175.5,0.58,-313.5,-1.04,2829,0.28,10
46,Exit short,2026-05-06 02:45,flip,100.75,2,20012,-148,-0.74,11,0.05,-259,-1.29,2681,0.27,9
46,Entry short,2026-05-06 02:00,S,100.06,2,20012,-148,-0.74,11,0.05,-259,-1.29,2681,0.27,9
47,Exit long,2026-05-06 16:45,session 4:45,96.09,2,20150,-942,-4.67,85,0.42,-2421,-12.01,1739,0.17,168
47,Entry long,2026-05-06 02:45,L,100.75,2,20150,-942,-4.67,85,0.42,-2421,-12.01,1739,0.17,168
48,Exit short,2026-05-07 14:40,flip,96.18,2,19122,-124,-0.65,1145,5.99,-369,-1.93,1615,0.16,180
48,Entry short,2026-05-06 23:40,S,95.61,2,19122,-124,-0.65,1145,5.99,-369,-1.93,1615,0.16,180
49,Exit long,2026-05-07 16:45,session 4:45,97.1,1,9618,87,0.90,129.5,1.35,-150.5,-1.56,1702,0.17,25
49,Entry long,2026-05-07 14:40,L,96.18,1,9618,87,0.90,129.5,1.35,-150.5,-1.56,1702,0.17,25
50,Exit short,2026-05-08 16:45,session 4:45,94.48,2,19088,182,0.95,327,1.71,-155,-0.81,1884,0.19,189
50,Entry short,2026-05-08 01:00,S,95.44,2,19088,182,0.95,327,1.71,-155,-0.81,1884,0.19,189
51,Exit short,2026-05-11 16:45,session 4:45,98.39,1,9723,-121,-1.24,107.5,1.11,-261.5,-2.69,1763,0.18,99
51,Entry short,2026-05-11 08:30,S,97.23,1,9723,-121,-1.24,107.5,1.11,-261.5,-2.69,1763,0.18,99
